Name,Days,Money,New,Inventory
lilly,54,2135.929666666667,0,"""[{'name': 'LIGHTNING', 'power': 1, 'ingredients': ['08', '07', '09', '04']}]"""
anna,5,96.74,0,"""[{'name': 'HEAL', 'power': 2, 'ingredients': ['16', '02']}]"""
abby,1,100,0,"""[]"""
anny,5,182.05000000000004,0,"""[{'name': 'FIRE', 'power': 1, 'ingredients': ['01']},{'name': 'STRENGTH', 'power': 3, 'ingredients': ['14', '14', '14']},{'name': 'POISON', 'power': 3, 'ingredients': ['08', '09', '07']},{'name': 'POISON', 'power': 3, 'ingredients': ['06', '09']}]"""
